Data,Ostatnio,Otwarcie,Max.,Min.,Wol.,Zmiana%
10.03.2023,"1.799,58","1.820,21","1.820,21","1.786,18","16,07M","-1,98%"
09.03.2023,"1.835,94","1.859,12","1.859,12","1.835,94","10,60M","-1,34%"
08.03.2023,"1.860,83","1.853,32","1.864,49","1.842,48","12,13M","0,40%"
07.03.2023,"1.853,40","1.870,17","1.883,31","1.853,40","12,94M","-1,08%"
06.03.2023,"1.873,63","1.849,05","1.878,93","1.849,05","13,15M","1,73%"
03.03.2023,"1.841,85","1.821,93","1.841,85","1.820,13","12,69M","1,32%"
02.03.2023,"1.817,77","1.850,34","1.850,34","1.813,37","16,03M","-2,07%"
01.03.2023,"1.856,22","1.855,26","1.868,54","1.845,77","15,26M","0,45%"
28.02.2023,"1.847,94","1.821,30","1.847,94","1.810,98","27,05M","1,49%"
27.02.2023,"1.820,79","1.810,71","1.828,27","1.806,50","8,39M","0,75%"
24.02.2023,"1.807,31","1.828,33","1.832,76","1.802,10","11,54M","-0,96%"
23.02.2023,"1.824,76","1.797,80","1.826,45","1.797,80","13,12M","1,55%"
22.02.2023,"1.796,87","1.822,56","1.823,79","1.786,67","17,93M","-1,59%"
21.02.2023,"1.825,89","1.847,82","1.847,82","1.813,26","14,63M","-1,28%"
20.02.2023,"1.849,48","1.860,87","1.863,76","1.842,43","9,56M","-0,53%"
17.02.2023,"1.859,26","1.859,27","1.867,81","1.846,46","14,93M","-0,34%"
16.02.2023,"1.865,51","1.872,93","1.883,67","1.841,85","18,65M","-0,24%"
15.02.2023,"1.870,03","1.850,59","1.871,47","1.844,73","11,20M","0,94%"
14.02.2023,"1.852,67","1.858,47","1.868,44","1.841,76","12,57M","-0,03%"
13.02.2023,"1.853,29","1.855,31","1.863,95","1.837,88","13,48M","0,28%"
10.02.2023,"1.848,04","1.891,84","1.891,84","1.838,33","19,72M","-2,54%"
09.02.2023,"1.896,24","1.892,88","1.912,32","1.889,24","12,17M","0,51%"
08.02.2023,"1.886,68","1.882,32","1.898,52","1.882,32","13,40M","0,85%"
07.02.2023,"1.870,87","1.869,42","1.877,28","1.858,79","14,14M","0,33%"
06.02.2023,"1.864,76","1.902,31","1.902,31","1.863,26","15,98M","-2,17%"
03.02.2023,"1.906,13","1.903,48","1.917,69","1.896,18","18,91M","0,12%"
